관리번호,정류장명,그늘,의자,도착안내기,쉘터,촬영시점(YYYY.MM),조사자,비고
250002147,석사교회,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000796,모아엘가비스타,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000797,모아엘가비스타,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001252,현암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001253,현암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001254,현암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001222,소주고개,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001244,혈동2리마을회관,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001245,혈동2리마을회관,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001333,태봉,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001004,당림삼거리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001015,조양1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001016,부사원고개,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001024,지암리(4),없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001025,지암리(3),없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001030,고성2리용화산,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001032,고성2리1반,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001036,송암리(인삼밭),없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001037,솔바우농원,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001041,솔바우농원,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001045,인람리(하우스),없음,없음,없음,없음,,시설이미지 라벨링(병합본),
