"운행일자","정산사업자","정류장아이디","정류장명","읍면동코드(법정동)","읍면동명(법정동)","모바일아이디"
"2025-06-13","이동의즐거움","4241574","거두2리","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4241575","고은1리","5111039023","동내면","정보없음"
"2025-06-13","이동의즐거움","4241578","신촌1리","5111039022","동내면","정보없음"
"2025-06-13","이동의즐거움","4241579","동내초교","5111039022","동내면","정보없음"
"2025-06-13","이동의즐거움","4241580","장애인종합복지관","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241581","퇴계주공3_4차","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241582","우석초교","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241583","초록지붕A","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4241586","(구)농업기술원","5111011800","우두동","1932"
"2025-06-13","이동의즐거움","4241587","강원생명과학고","5111011900","사농동","정보없음"
"2025-06-13","이동의즐거움","4241588","소양중학교","5111011900","사농동","정보없음"
"2025-06-13","이동의즐거움","4241589","호반A","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241590","동보빌리지","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241591","소양로우체국","5111011500","소양로3가","정보없음"
"2025-06-13","이동의즐거움","4241592","시청입구","5111010800","조양동","정보없음"
"2025-06-13","이동의즐거움","4241593","한국토지주택공사","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241594","약사롯데캐슬","5111011100","약사동","정보없음"
"2025-06-13","이동의즐거움","4241595","문화예술회관","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241596","춘천중학교","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241597","청와A","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241599","삼천동사거리","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241600","공지사거리","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241601","금산2리","5111035022","서면","정보없음"
"2025-06-13","이동의즐거움","4241602","상상마당입구","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241603","통일플러스센터","5111012500","삼천동","정보없음"
"2025-06-13","이동의즐거움","4241604","퇴계주공2차","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4241605","봄내초등학교","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241606","퇴계주공2차","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4241636","산림조합강원본부","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241637","산림조합강원본부","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241638","대형약국","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4241640","전인고등학교","5111032023","동산면","1357"
"2025-06-13","이동의즐거움","4241646","군자3리","5111032024","동산면","정보없음"
"2025-06-13","이동의즐거움","4241647","케이티앤지","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4241648","강원사대부고","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241649","강원사대부고","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241650","구름다리주유소","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4241651","동신장로교회","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4241652","유앤아이A","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4241654","고은리종점","5111039023","동내면","정보없음"
"2025-06-13","이동의즐거움","4241655","고창말","5111033025","신동면","정보없음"
"2025-06-13","이동의즐거움","4241659","구고탄농협","5111036027","사북면","정보없음"
"2025-06-13","이동의즐거움","4241660","고탄입구","5111025027","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241661","고탄입구","5111025027","신북읍","정보없음"
"2025-06-13","이동의즐거움","4241663","농협후석로지점","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241664","신성교회","5111012000","후평동","정보없음"
"2025-06-13","이동의즐거움","4241665","공지천사거리","5111011700","근화동","2002"
"2025-06-13","이동의즐거움","4241666","춘천청소년수련관","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241667","춘천청소년수련관","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241669","관천리","5111034021","남면","정보없음"
"2025-06-13","이동의즐거움","4241670","관천리종점","5111034021","남면","정보없음"
"2025-06-13","이동의즐거움","4241676","광판2리","5111040022","남산면","정보없음"
"2025-06-13","이동의즐거움","4241680","광판중학교입구","5111040022","남산면","정보없음"
"2025-06-13","이동의즐거움","4241681","광판초교","5111040022","남산면","정보없음"
"2025-06-13","이동의즐거움","4241682","광판초교","5111040022","남산면","정보없음"
"2025-06-13","이동의즐거움","4241683","교동초교입구","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241684","교동초교입구","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241685","강촌1리마을","5111040027","남산면","정보없음"
"2025-06-13","이동의즐거움","4241686","강촌1리마을","5111040027","남산면","정보없음"
"2025-06-13","이동의즐거움","4241687","구곡폭포종점","5111040027","남산면","정보없음"
"2025-06-13","이동의즐거움","4241691","유앤아이A","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4241692","군자3리","5111032024","동산면","정보없음"
"2025-06-13","이동의즐거움","4241697","그랜드A","5111012400","석사동","정보없음"
"2025-06-13","이동의즐거움","4241699","춘천역육교앞","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4241700","근화초교","5111011400","소양로2가","정보없음"
"2025-06-13","이동의즐거움","4241701","금병초교","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241703","강원정보문화진흥원","5111035022","서면","정보없음"
"2025-06-13","이동의즐거움","4241704","금산3리","5111035022","서면","정보없음"
"2025-06-13","이동의즐거움","4241705","금산2리","5111035022","서면","정보없음"
"2025-06-13","이동의즐거움","4241706","금산3리","5111035022","서면","정보없음"
"2025-06-13","이동의즐거움","4241708","김유정문학촌","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241709","발산1리","5111034024","남면","1949"
"2025-06-13","이동의즐거움","4241710","남면행정복지센터","5111034024","남면","정보없음"
"2025-06-13","이동의즐거움","4241711","남부시장","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4241712","남산면행복센터","5111040025","남산면","정보없음"
"2025-06-13","이동의즐거움","4241713","남산면행복센터","5111040025","남산면","정보없음"
"2025-06-13","이동의즐거움","4241716","남춘천중학교","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241717","남춘천초교","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241718","국민연금공단","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4241719","국민연금공단","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4241720","논골입구","5111032023","동산면","정보없음"
"2025-06-13","이동의즐거움","4241721","도재활병원삼거리","5111011800","우두동","정보없음"
"2025-06-13","이동의즐거움","4241722","농촌공사춘천지소","5111011800","우두동","정보없음"
"2025-06-13","이동의즐거움","4241723","농촌공사춘천지소","5111011800","우두동","정보없음"
"2025-06-13","이동의즐거움","4241724","당림1리","5111035029","서면","1931"
"2025-06-13","이동의즐거움","4241727","당림2리","5111035029","서면","정보없음"
"2025-06-13","이동의즐거움","4241728","당림2리","5111035029","서면","정보없음"
"2025-06-13","이동의즐거움","4241730","당림3반종점","5111035029","서면","정보없음"
"2025-06-13","이동의즐거움","4241733","당림초교","5111035029","서면","정보없음"
"2025-06-13","이동의즐거움","4241734","대룡산쉼터","5111039024","동내면","정보없음"
