조사 순번,정류장 번호,관리번호,정류장명(카카오맵 표시명),정류장명(영어),경도,위도,현행 확인 출처,카카오맵 표시 방면,공식 노선순서 기반 진행방면,카카오맵 정류장 검색 URL,카카오 로드뷰 URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
131,2000,250026588,중앙하이츠2차,Joongang Heights 2(i)-cha Apartment,127.73563,37.85698,TAGO·카카오맵,중앙하이츠1차 방면,중앙하이츠1차 / 무릉공원 방면,https://map.kakao.com/link/search/%EC%A4%91%EC%95%99%ED%95%98%EC%9D%B4%EC%B8%A02%EC%B0%A8%202000%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85698,127.73563",,,,있음,,,
132,1974,250001655,구곡폭포종점,Gugokpokpo Terminus,127.6165,37.79745,TAGO·카카오맵,구곡폭포종점 방면,구곡폭포종점 방면,https://map.kakao.com/link/search/%EA%B5%AC%EA%B3%A1%ED%8F%AD%ED%8F%AC%EC%A2%85%EC%A0%90%201974%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.79745,127.6165",,,,,,,
133,2842,265000867,안마산로입구,Anmasan-ro Entrance,127.71848,37.85875,TAGO·카카오맵,남춘천여중 방면,남춘천여중 방면,https://map.kakao.com/link/search/%EC%95%88%EB%A7%88%EC%82%B0%EB%A1%9C%EC%9E%85%EA%B5%AC%202842%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85875,127.71848",,,,,,,
134,1008,250001199,폴리텍2캠퍼스,Korea Polytechnics 2nd Campus,127.73956,37.91212,TAGO·카카오맵,충렬탑입구 방면,충렬탑입구 방면,https://map.kakao.com/link/search/%ED%8F%B4%EB%A6%AC%ED%85%8D2%EC%BA%A0%ED%8D%BC%EC%8A%A4%201008%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.91212,127.73956",,,,,,,
135,2243,250026527,성심경로당,Seongsim Senior Center,127.73981,37.88122,TAGO·카카오맵,봉의중학교 방면,봉의중학교 방면,https://map.kakao.com/link/search/%EC%84%B1%EC%8B%AC%EA%B2%BD%EB%A1%9C%EB%8B%B9%202243%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88122,127.73981",,,,,,,
136,2251,250026517,성심경로당,Seongsim Senior Center,127.74002,37.88121,TAGO·카카오맵,동보빌리지 방면,동보빌리지 / 한림대학교 방면,https://map.kakao.com/link/search/%EC%84%B1%EC%8B%AC%EA%B2%BD%EB%A1%9C%EB%8B%B9%202251%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88121,127.74002",,,,있음,,,
137,2286,250026550,소양강처녀상,Soyanggang Maiden statue,127.72589,37.89369,TAGO·카카오맵,당간지주입구 방면,당간지주입구 / 참전유공자기념탑 방면,https://map.kakao.com/link/search/%EC%86%8C%EC%96%91%EA%B0%95%EC%B2%98%EB%85%80%EC%83%81%202286%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89369,127.72589",,,,미확인,,,"BIT 원본은 동일 번호 2286을 호반환승센터로 표기하나, 현행 TAGO·카카오맵은 소양강처녀상으로 일치하고 좌표도 약 81m 차이여서 BIT 설치 여부 현장확인 필요"
138,2331,250026599,석사교사거리,Seoksagyo Sageori,127.7397,37.85738,TAGO·카카오맵,퇴계주공1차 방면,퇴계주공1차 방면,https://map.kakao.com/link/search/%EC%84%9D%EC%82%AC%EA%B5%90%EC%82%AC%EA%B1%B0%EB%A6%AC%202331%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85738,127.7397",,,,,,,
139,1097,250001288,무릉공원,Mureung Park,127.73933,37.85609,TAGO·카카오맵,석사동행복센터 방면,석사동행복센터 방면,https://map.kakao.com/link/search/%EB%AC%B4%EB%A6%89%EA%B3%B5%EC%9B%90%201097%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85609,127.73933",,,,,,,
140,1336,265000697,삼천동사거리,Samcheon-dong Sageori,127.70365,37.87,TAGO·카카오맵,파크자이A 방면,삼천동사거리 / 파크자이A 방면,https://map.kakao.com/link/search/%EC%82%BC%EC%B2%9C%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC%201336%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87,127.70365",,,,,,,
141,1358,265000723,삼천동사거리,Samcheon-dong Sageori,127.70345,37.87055,TAGO·카카오맵,상상마당입구 방면,상상마당입구 방면,https://map.kakao.com/link/search/%EC%82%BC%EC%B2%9C%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC%201358%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87055,127.70345",,,,,,,
142,2167,250002190,삼천동사거리,Samcheon-dong Sageori,127.70743,37.86983,TAGO·카카오맵,파크자이A 방면,삼천동사거리 / 파크자이A 방면,https://map.kakao.com/link/search/%EC%82%BC%EC%B2%9C%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC%202167%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86983,127.70743",,,,있음,,,
143,2124,250002147,석사교회,Seoksa Methodist Church,127.7446,37.85989,TAGO·카카오맵,교육대학교 방면,교육대학교 방면,https://map.kakao.com/link/search/%EC%84%9D%EC%82%AC%EA%B5%90%ED%9A%8C%202124%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85989,127.7446",,,,있음,,,
144,2150,265000796,모아엘가비스타,MOA-Elgaa Vista,127.75686,37.84188,TAGO·카카오맵,모아엘가그랑데 방면,모아엘가그랑데 방면,https://map.kakao.com/link/search/%EB%AA%A8%EC%95%84%EC%97%98%EA%B0%80%EB%B9%84%EC%8A%A4%ED%83%80%202150%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84188,127.75686",,,,있음,,,
145,2252,265000797,모아엘가비스타,MOA-Elgaa Vista,127.75712,37.84188,TAGO·카카오맵,학곡지구입구 방면,학곡지구입구 / 현진에버빌1차 방면,https://map.kakao.com/link/search/%EB%AA%A8%EC%95%84%EC%97%98%EA%B0%80%EB%B9%84%EC%8A%A4%ED%83%80%202252%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84188,127.75712",,,,있음,,,
146,1061,250001252,현암리,Hyeonam-ri,127.6836,37.88497,TAGO,,현암리 방면,https://map.kakao.com/link/search/%ED%98%84%EC%95%94%EB%A6%AC%201061%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88497,127.6836",,,,,,,
147,1062,250001253,현암리,Hyeonam-ri,127.67753,37.8768,TAGO,,신연강 방면,https://map.kakao.com/link/search/%ED%98%84%EC%95%94%EB%A6%AC%201062%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8768,127.67753",,,,,,,
148,1063,250001254,현암리,Hyeonam-ri,127.67772,37.87684,TAGO,,현암리 방면,https://map.kakao.com/link/search/%ED%98%84%EC%95%94%EB%A6%AC%201063%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87684,127.67772",,,,,,,
149,1031,250001222,소주고개,Soju Pass,127.62688,37.76028,TAGO·카카오맵,창촌3리(양단이) 방면,창촌3리(양단이) 방면,https://map.kakao.com/link/search/%EC%86%8C%EC%A3%BC%EA%B3%A0%EA%B0%9C%201031%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.76028,127.62688",,,,,,,
150,1053,250001244,혈동2리마을회관,Hyeoldong 2(i)-ri Village Hall,127.68514,37.78797,TAGO·카카오맵,혈동2리종점 방면,혈동2리종점 방면,https://map.kakao.com/link/search/%ED%98%88%EB%8F%992%EB%A6%AC%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%201053%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78797,127.68514",,,,,,,
151,1054,250001245,혈동2리마을회관,Hyeoldong 2(i)-ri Village Hall,127.68526,37.78795,TAGO·카카오맵,혈동2리 방면,혈동2리 방면,https://map.kakao.com/link/search/%ED%98%88%EB%8F%992%EB%A6%AC%EB%A7%88%EC%9D%84%ED%9A%8C%EA%B4%80%201054%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78795,127.68526",,,,,,,
152,1140,250001333,태봉,Taebong,127.68525,37.88758,TAGO,,현암리 방면,https://map.kakao.com/link/search/%ED%83%9C%EB%B4%89%201140%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88758,127.68525",,,,,,,
153,1188,250001004,당림삼거리,Dangnim Samgeori,127.61,37.84118,TAGO·카카오맵,새말교 방면,새말교 방면,https://map.kakao.com/link/search/%EB%8B%B9%EB%A6%BC%EC%82%BC%EA%B1%B0%EB%A6%AC%201188%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84118,127.61",,,,,,,
154,1194,250001015,조양1리,Joyang 1(il)-ri,127.81157,37.75621,TAGO·카카오맵,동산면행복센터 방면,동산면행복센터 방면,https://map.kakao.com/link/search/%EC%A1%B0%EC%96%911%EB%A6%AC%201194%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.75621,127.81157",,,,,,,
155,1195,250001016,부사원고개,Busawon Pass,127.82282,37.75151,TAGO·카카오맵,조양1리 방면,조양1리 방면,https://map.kakao.com/link/search/%EB%B6%80%EC%82%AC%EC%9B%90%EA%B3%A0%EA%B0%9C%201195%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.75151,127.82282",,,,,,,
156,1203,250001024,지암리(4),Jiam-ri (4),127.60395,37.97923,TAGO·카카오맵,지암리(물레방아민박) 방면,지암리(물레방아민박) 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC(4)%201203%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.97923,127.60395",,,,,,,
157,1204,250001025,지암리(3),Jiam-ri (3),127.61624,37.98281,TAGO·카카오맵,지암산천마을 방면,지암산천마을 방면,https://map.kakao.com/link/search/%EC%A7%80%EC%95%94%EB%A6%AC(3)%201204%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.98281,127.61624",,,,,,,
158,1209,250001030,고성2리용화산,Goseong 2(i)-ri Yonghwasan,127.73535,37.99468,TAGO·카카오맵,고성2리 방면,고성2리 방면,https://map.kakao.com/link/search/%EA%B3%A0%EC%84%B12%EB%A6%AC%EC%9A%A9%ED%99%94%EC%82%B0%201209%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.99468,127.73535",,,,,,,
159,1211,250001032,고성2리1반,Goseong 2(i)-ri 1(il)-ban,127.73044,37.99235,카카오맵,고성2리(초설) 방면,고성2리(초설) 방면,https://map.kakao.com/link/search/%EA%B3%A0%EC%84%B12%EB%A6%AC1%EB%B0%98%201211%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.99235,127.73044",,,,,,,
160,1215,250001036,송암리(인삼밭),Songam-ri (Ginseng Field),127.68982,38.00113,TAGO·카카오맵,송암리마을회관 방면,송암리마을회관 방면,https://map.kakao.com/link/search/%EC%86%A1%EC%95%94%EB%A6%AC(%EC%9D%B8%EC%82%BC%EB%B0%AD)%201215%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/38.00113,127.68982",,,,,,,
161,1216,250001037,솔바우농원,Solbau Farm,127.68335,37.99578,TAGO·카카오맵,송암리 방면,송암리 방면,https://map.kakao.com/link/search/%EC%86%94%EB%B0%94%EC%9A%B0%EB%86%8D%EC%9B%90%201216%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.99578,127.68335",,,,,,,
162,1220,250001041,솔바우농원,Solbau Farm,127.68348,37.99585,카카오맵,송암리(밤나무) 방면,송암리(밤나무) 방면,https://map.kakao.com/link/search/%EC%86%94%EB%B0%94%EC%9A%B0%EB%86%8D%EC%9B%90%201220%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.99585,127.68348",,,,,,,
163,1224,250001045,인람리(하우스),Illam-ri (House),127.65946,37.99083,TAGO·카카오맵,인람종점 방면,인람종점 방면,https://map.kakao.com/link/search/%EC%9D%B8%EB%9E%8C%EB%A6%AC(%ED%95%98%EC%9A%B0%EC%8A%A4)%201224%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.99083,127.65946",,,,,,,
