조사 순번,정류장 번호,관리번호,정류장명(카카오맵 표시명),정류장명(영어),경도,위도,현행 확인 출처,카카오맵 표시 방면,공식 노선순서 기반 진행방면,카카오맵 정류장 검색 URL,카카오 로드뷰 URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
25,1600,250001954,원창1리,Wonchang 1(il)-ri,127.74998,37.78839,TAGO·카카오맵,원창교 방면,원창교 방면,https://map.kakao.com/link/search/%EC%9B%90%EC%B0%BD1%EB%A6%AC%201600%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78839,127.74998",,,,,,,
26,1601,250001955,원창1리,Wonchang 1(il)-ri,127.75005,37.78828,TAGO·카카오맵,전인고등학교 방면,전인고등학교 방면,https://map.kakao.com/link/search/%EC%9B%90%EC%B0%BD1%EB%A6%AC%201601%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78828,127.75005",,,,,,,
27,1067,265000756,홈플러스,Homeplus,127.73385,37.85092,카카오맵,퇴계농공단지입구 방면,퇴계농공단지입구 방면,https://map.kakao.com/link/search/%ED%99%88%ED%94%8C%EB%9F%AC%EC%8A%A4%201067%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85092,127.73385",,,,있음,,,
28,2416,250026689,홈플러스,Homeplus,127.73411,37.85085,TAGO·카카오맵,중앙하이츠1차 방면,중앙하이츠1차 / 퇴계우성A 방면,https://map.kakao.com/link/search/%ED%99%88%ED%94%8C%EB%9F%AC%EC%8A%A4%202416%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.85085,127.73411",,,,,,,
29,1914,250001594,대원사,Daewonsa,127.68557,37.84507,카카오맵,송암스포츠타운입구 방면,송암스포츠타운입구 / 강원체육회관 방면,https://map.kakao.com/link/search/%EB%8C%80%EC%9B%90%EC%82%AC%201914%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84507,127.68557",,,,,,,
30,1915,250001595,대원사,Daewonsa,127.6857,37.84517,TAGO·카카오맵,의암댐 방면,의암댐 방면,https://map.kakao.com/link/search/%EB%8C%80%EC%9B%90%EC%82%AC%201915%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84517,127.6857",,,,,,,
31,2214,250002237,푸른언덕공원,Pureuneondeok Park,127.7463,37.87627,TAGO·카카오맵,후평중학교 방면,후평중학교 방면,https://map.kakao.com/link/search/%ED%91%B8%EB%A5%B8%EC%96%B8%EB%8D%95%EA%B3%B5%EC%9B%90%202214%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87627,127.7463",,,,,,,
32,2017,265000786,송암삼거리,Song-am sam geori,127.70284,37.98796,TAGO·카카오맵,전원주택입구 방면,전원주택입구 방면,https://map.kakao.com/link/search/%EC%86%A1%EC%95%94%EC%82%BC%EA%B1%B0%EB%A6%AC%202017%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.98796,127.70284",,,,,,,
33,2075,250002098,송암삼거리,Song-am sam geori,127.70335,37.98836,TAGO·카카오맵,송암리 방면,송암리 방면,https://map.kakao.com/link/search/%EC%86%A1%EC%95%94%EC%82%BC%EA%B1%B0%EB%A6%AC%202075%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.98836,127.70335",,,,,,,
34,1868,250001548,동보빌리지,Dongbo Village,127.74144,37.88358,TAGO·카카오맵,세경3차 방면,세경3차 방면,https://map.kakao.com/link/search/%EB%8F%99%EB%B3%B4%EB%B9%8C%EB%A6%AC%EC%A7%80%201868%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88358,127.74144",,,,,,,
