stop_no,management_id,stop_name,name_candidate_count,strict_candidate_count,selected_boarding_stop_id,current_route_count,boarding_route_count,decision,lookup_date
1974,250001655,구곡폭포종점,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1008,250001199,폴리텍2캠퍼스,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2243,250026527,성심경로당,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2251,250026517,성심경로당,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1097,250001288,무릉공원,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1336,265000697,삼천동사거리,4,0,,,,unresolved_route_set_not_equal,2026-07-21
1358,265000723,삼천동사거리,4,0,,,,unresolved_route_set_not_equal,2026-07-21
2167,250002190,삼천동사거리,4,0,,,,unresolved_route_set_not_equal,2026-07-21
2150,265000796,모아엘가비스타,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2252,265000797,모아엘가비스타,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1061,250001252,현암리,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1062,250001253,현암리,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1063,250001254,현암리,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1031,250001222,소주고개,0,0,,,,unresolved_no_name_candidate,2026-07-21
1053,250001244,혈동2리마을회관,0,0,,,,unresolved_no_name_candidate,2026-07-21
1054,250001245,혈동2리마을회관,0,0,,,,unresolved_no_name_candidate,2026-07-21
1140,250001333,태봉,0,0,,,,unresolved_no_name_candidate,2026-07-21
1188,250001004,당림삼거리,0,0,,,,unresolved_no_name_candidate,2026-07-21
1194,250001015,조양1리,0,0,,,,unresolved_no_name_candidate,2026-07-21
1195,250001016,부사원고개,0,0,,,,unresolved_no_name_candidate,2026-07-21
1203,250001024,지암리(4),6,0,,,,unresolved_route_set_not_equal,2026-07-21
1204,250001025,지암리(3),6,0,,,,unresolved_route_set_not_equal,2026-07-21
1209,250001030,고성2리용화산,0,0,,,,unresolved_no_name_candidate,2026-07-21
1211,250001032,고성2리1반,0,0,,,,unresolved_no_name_candidate,2026-07-21
1215,250001036,송암리(인삼밭),5,0,,,,unresolved_route_set_not_equal,2026-07-21
1216,250001037,솔바우농원,0,0,,,,unresolved_no_name_candidate,2026-07-21
1220,250001041,솔바우농원,0,0,,,,unresolved_no_name_candidate,2026-07-21
