순번,설치 정류장명,위도,경도,정류장 번호,설치 단말기 종류,설치연월,음성사용여부,표출시간,외국어지원여부,데이터기준일자
120,남산면행복센터,37.79149,127.64606,1944,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
121,휴먼시아1차,37.86087,127.7332,2320,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
122,퇴계주공2차,37.85841,127.7371,1129,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
123,남춘천역,37.8639,127.7231,2285,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
124,한국은행,37.88225,127.72859,1088,LCD(독립형),2016-09-30,사용,05:00 ~ 23:30,미사용,2025-11-14
125,엘타워/미소지움,37.87404,127.71703,1157,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
126,춘천중학교정문,37.87398,127.7181,1158,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
127,춘천사회혁신센터,37.86416,127.73627,1484,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
128,성원초등학교,37.84813,127.74339,2103,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
129,퇴계주공7단지,37.84784,127.74092,1120,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
130,중앙하이츠1차,37.85456,127.73726,1741,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
131,교동초교입구,37.8778,127.73812,1977,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
132,장애인종합복지관,37.84742,127.7553,1083,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
133,박물관후문,37.86465,127.75281,1363,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
134,중앙하이츠2차,37.85723,127.73525,2000,LCD(거치형),2019-10-10,사용,05:00 ~ 23:30,사용,2025-11-14
135,청구/진흥A,37.86895,127.75254,1694,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
136,후평주공7단지,37.87554,127.75105,1015,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
137,푸른언덕공원,37.87619,127.74552,2215,LCD(거치형),2023-11-01,사용,05:00 ~ 23:30,사용,2025-11-14
138,중부지구대,37.87579,127.73787,1039,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
139,동광오거리,37.88526,127.74947,1826,LCD(거치형),2019-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
140,윗샘밭종점,37.93244,127.79216,1570,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
141,퇴계주공2차,37.85789,127.73464,2001,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
142,인성병원,37.88109,127.72659,1532,LED(거치형),2022-09-01,사용,05:00 ~ 23:30,미사용,2025-11-14
143,신동삼거리,37.93187,127.72203,2045,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
144,용산1리,37.93913,127.7142,1325,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
145,공지사거리,37.87431,127.7146,2003,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
146,애니고등학교,37.90526,127.70064,1491,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
147,두미르A,37.90265,127.72739,1853,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
148,삼성동부A,37.89953,127.73082,1844,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
149,문화예술회관,37.873,127.7269,1813,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
150,KBS방송국,37.86824,127.7228,1752,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
151,배나무골,37.85983,127.717,2230,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
152,중앙로입구,37.87749,127.7242,1745,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
153,강촌역,37.80627,127.6337,2303,LED(거치형),2020-05-29,사용,05:00 ~ 23:30,미사용,2025-11-14
154,후평주공5단지,37.87346,127.74691,1019,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
155,항공대정문,37.92947,127.76178,1079,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
156,석사2지구A,37.87048,127.75677,2126,LCD(거치형),2015-07-29,사용,05:00 ~ 23:30,사용,2025-11-14
157,명동입구,37.87971,127.72668,1671,LCD(거치형),2017-06-01,사용,05:00 ~ 23:30,사용,2025-11-14
158,번개시장,37.89205,127.72626,2219,LCD(거치형),2012-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
159,한국국토정보공사,37.87803,127.7511,1703,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
160,보안사거리,37.87542,127.75241,2213,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
161,부안주유소,37.87243,127.75247,1013,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
162,후평3동행복센터,37.87624,127.75371,1026,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
163,신한은행후평동지점,37.87927,127.75044,1516,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
164,보안사거리,37.87534,127.75261,2212,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
165,후평3동우체국,37.87244,127.75268,1012,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
166,문화예술회관,37.87294,127.72712,1814,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
167,퇴계우성A,37.85983,127.7311,1339,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
168,현진에버빌2차,37.8528,127.74154,2106,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
169,석사A,37.86281,127.73904,2113,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
170,포스코더샵A,37.88061,127.74948,1101,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
171,농산물도매시장,37.90682,127.72831,2274,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
172,공지천사거리,37.87404,127.71429,2002,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
173,배나무골,37.85995,127.71745,2229,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
174,퇴계우성A,37.85998,127.73021,1132,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
175,홈플러스,37.85092,127.73385,1067,LED(거치형),2020-05-29,사용,05:00 ~ 23:30,미사용,2025-11-14
176,퇴계주공1차,37.85871,127.73698,1130,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
177,동부시장,37.87632,127.73345,1864,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
178,산림조합강원본부,37.88724,127.75365,1002,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
179,농산물도매시장,37.90702,127.72832,2275,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
180,폴리텍2캠퍼스,37.91229,127.73925,1476,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
181,면허시험장입구,37.9455,127.75158,1823,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
182,춘천시보건소,37.87621,127.72084,1156,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
183,춘천농협,37.88444,127.72342,1371,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
184,시립청소년도서관,37.87137,127.70841,2059,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
185,칠전대우A,37.84436,127.71177,1150,LCD(거치형),7430-05-02,사용,05:00 ~ 23:30,사용,2025-11-14
186,의암댐,37.83792,127.67719,1544,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
187,김유정문학촌,37.81935,127.71679,1950,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
188,의암교차로,37.82721,127.6696,1546,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
189,덕두원3리,37.82722,127.67006,1885,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
190,등선폭포,37.82486,127.66078,1850,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
191,등선폭포,37.82491,127.66043,1851,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
192,강촌입구,37.81897,127.63323,1463,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
193,강촌검문소,37.82571,127.62263,1472,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
194,강촌검문소,37.82565,127.6222,1473,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
195,당림2리,37.83079,127.61541,1927,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
196,당림2리,37.83037,127.61526,1928,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
197,안보1리,37.83593,127.58463,1445,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
198,안보1리,37.83576,127.58439,1446,LED(거치형),2023-11-01,사용,05:00 ~ 23:30,미사용,2025-11-14
199,퇴계주공9차,37.84767,127.74083,1119,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
200,대룡중학교,37.84817,127.74366,1916,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
201,시청자미디어센터,37.89604,127.6906,1957,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
202,서춘천농협,37.93234,127.70239,2130,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
203,천년나무A,37.91277,127.73747,2617,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
204,천년나무A,37.91296,127.73764,2618,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
205,퇴계금호A,37.84907,127.73881,1137,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
206,유승한내들,37.86192,127.73137,1568,LED(거치형),2024-06-05,사용,05:00 ~ 23:30,미사용,2025-11-14
207,KBS방송국,37.86765,127.72272,1753,LCD(거치형),2024-06-05,사용,05:00 ~ 23:30,사용,2025-11-14
208,법원,37.8659,127.73311,2218,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
209,국민연금공단,37.86386,127.7312,1939,LED(거치형),2022-09-05,사용,05:00 ~ 23:30,미사용,2025-11-14
