관리번호,정류장명,lat,lng,한낮승차,미확인시설목록,로드뷰URL
250027098,중앙시장입구,37.87807,127.72437,180,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87807,127.72437"
250027123,안보2리3반,37.85332,127.57897,15,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.85332,127.57897"
250027124,안보2리3반,37.8533,127.57885,15,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.8533,127.57885"
250001529,등선폭포,37.82477,127.66073,172,"그늘,조명,도착안내기","https://map.kakao.com/link/roadview/37.82477,127.66073"
250001530,등선폭포,37.82496,127.66041,172,"그늘,조명,도착안내기","https://map.kakao.com/link/roadview/37.82496,127.66041"
250026785,오월2리,37.96821,127.62715,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96821,127.62715"
250026786,오월2리,37.96965,127.62918,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96965,127.62918"
250026787,오월2리,37.97158,127.63558,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97158,127.63558"
250026789,오월2리,37.97519,127.6417,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97519,127.6417"
250027046,오월2리,37.97515,127.64154,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97515,127.64154"
250027048,오월2리,37.96975,127.62915,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96975,127.62915"
250027049,오월2리,37.96817,127.62729,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.96817,127.62729"
250027050,오월2리,37.97148,127.63562,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97148,127.63562"
257001479,반곡,37.69461,127.66785,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69461,127.66785"
257001480,반곡,37.69372,127.66711,14,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.69372,127.66711"
250001874,정부합동청사,37.88843,127.74964,164,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.88843,127.74964"
250026588,중앙하이츠2차,37.85698,127.73563,162,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85698,127.73563"
250001655,구곡폭포종점,37.79745,127.6165,154,"그늘,조명,도착안내기","https://map.kakao.com/link/roadview/37.79745,127.6165"
265000867,안마산로입구,37.85875,127.71848,146,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85875,127.71848"
250001199,폴리텍2캠퍼스,37.91212,127.73956,144,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.91212,127.73956"
250026527,성심경로당,37.88122,127.73981,144,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.88122,127.73981"
250026517,성심경로당,37.88121,127.74002,144,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.88121,127.74002"
250026550,소양강처녀상,37.89369,127.72589,140,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.89369,127.72589"
250026599,석사교사거리,37.85738,127.7397,134,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85738,127.7397"
250001288,무릉공원,37.85609,127.73933,132,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85609,127.73933"
265000697,삼천동사거리,37.87,127.70365,126,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87,127.70365"
265000723,삼천동사거리,37.87055,127.70345,126,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87055,127.70345"
250002190,삼천동사거리,37.86983,127.70743,126,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86983,127.70743"
250002147,석사교회,37.85989,127.7446,118,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85989,127.7446"
265000796,모아엘가비스타,37.84188,127.75686,117,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.84188,127.75686"
265000797,모아엘가비스타,37.84188,127.75712,117,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.84188,127.75712"
250001252,현암리,37.88497,127.6836,12,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.88497,127.6836"
250001253,현암리,37.8768,127.67753,12,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.8768,127.67753"
250001254,현암리,37.87684,127.67772,12,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.87684,127.67772"
250001222,소주고개,37.76028,127.62688,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.76028,127.62688"
250001244,혈동2리마을회관,37.78797,127.68514,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78797,127.68514"
250001245,혈동2리마을회관,37.78795,127.68526,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78795,127.68526"
250001333,태봉,37.88758,127.68525,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.88758,127.68525"
250001004,당림삼거리,37.84118,127.61,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.84118,127.61"
250001015,조양1리,37.75621,127.81157,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.75621,127.81157"
250001016,부사원고개,37.75151,127.82282,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.75151,127.82282"
250001024,지암리(4),37.97923,127.60395,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97923,127.60395"
250001025,지암리(3),37.98281,127.61624,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.98281,127.61624"
250001030,고성2리용화산,37.99468,127.73535,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.99468,127.73535"
250001032,고성2리1반,37.99235,127.73044,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.99235,127.73044"
250001036,송암리(인삼밭),38.00113,127.68982,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.00113,127.68982"
250001037,솔바우농원,37.99578,127.68335,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.99578,127.68335"
250001041,솔바우농원,37.99585,127.68348,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.99585,127.68348"
250001045,인람리(하우스),37.99083,127.65946,,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.99083,127.65946"
