위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.87004,127.75432,정류장,청구/동아A,강원특별자치도 춘천시 석사동 727-7,1,교통과,2026-06-01
37.87026,127.75433,정류장,동아/청구A,강원특별자치도 춘천시 후평3동 900,1,교통과,2026-06-01
37.92991,127.78027,정류장,천전3리,강원특별자치도 춘천시 천전리 126-10,1,교통과,2026-06-01
37.9305,127.77287,정류장,춘천국유림관리소,강원특별자치도 춘천시 천전리 708-5,1,교통과,2026-06-01
37.93712,127.77524,정류장,천전1리,강원특별자치도 춘천시 천전리 603-4,1,교통과,2026-06-01
37.7767,127.62608,정류장,창촌3리종점,강원특별자치도 춘천시 창촌리 626,1,교통과,2026-06-01
37.89841,127.66762,정류장,방동1리,강원특별자치도 춘천시 방동리 1008-3,1,교통과,2026-06-01
37.89697,127.67012,정류장,방동1리,강원특별자치도 춘천시 방동리 1008-3,1,교통과,2026-06-01
37.8959,127.67276,정류장,방동1리,강원특별자치도 춘천시 방동리 1008-1,1,교통과,2026-06-01
37.89567,127.67526,정류장,방동1리,강원특별자치도 춘천시 방동리 1008-3,1,교통과,2026-06-01
37.8028,127.6377,정류장,방곡리,강원특별자치도 춘천시 방곡리 321-2,1,교통과,2026-06-01
37.79127,127.63585,정류장,방곡2리회관,강원특별자치도 춘천시 방곡리 산 103,1,교통과,2026-06-01
37.98898,127.71331,정류장,고탄리(성탄교앞),강원특별자치도 춘천시 고탄리 102-10,1,교통과,2026-06-01
37.83593,127.58463,정류장,안보1리,강원특별자치도 춘천시 안보리 146-8,1,교통과,2026-06-01
37.83576,127.58439,정류장,안보1리,강원특별자치도 춘천시 안보리 146-10,1,교통과,2026-06-01
37.85597,127.75209,정류장,거두리부영A,강원특별자치도 춘천시 거두리 923,1,교통과,2026-06-01
37.85614,127.75486,정류장,성우오스타A,강원특별자치도 춘천시 거두리 1068,1,교통과,2026-06-01
37.86109,127.78736,정류장,거두2리마을회관,강원특별자치도 춘천시 거두리 887-1,1,교통과,2026-06-01
37.8604,127.78333,정류장,거두2리,강원특별자치도 춘천시 거두리 887-1,1,교통과,2026-06-01
37.86041,127.77795,정류장,거두2리,강원특별자치도 춘천시 거두리 887-6,1,교통과,2026-06-01
37.82031,127.6308,정류장,강촌입구,강원특별자치도 춘천시 당림리 산 1-8,1,교통과,2026-06-01
37.81361,127.63361,정류장,강촌유원지,강원특별자치도 춘천시 강촌리 242,1,교통과,2026-06-01
37.82571,127.62263,정류장,강촌검문소,강원특별자치도 춘천시 당림리 315-5,1,교통과,2026-06-01
37.82565,127.6222,정류장,강촌검문소,강원특별자치도 춘천시 당림리 315-13,1,교통과,2026-06-01
37.91229,127.73925,정류장,폴리텍2캠퍼스,강원특별자치도 춘천시 우두동 503-3,1,교통과,2026-06-01
37.88255,127.72851,정류장,강원일보,강원특별자치도 춘천시 요선동  7-7,1,교통과,2026-06-01
37.87276,127.74417,정류장,강원대후문,강원특별자치도 춘천시 효자3동 627-15,1,교통과,2026-06-01
37.87289,127.74425,정류장,강원대후문,강원특별자치도 춘천시 효자3동 628-10,1,교통과,2026-06-01
37.87471,127.74292,정류장,강원대학병원,강원특별자치도 춘천시 효자3동 624-3,1,교통과,2026-06-01
37.86416,127.73627,정류장,춘천사회혁신센터,강원특별자치도 춘천시 효자2동 303-14,1,교통과,2026-06-01
37.86554,127.73507,정류장,병무청앞,강원특별자치도 춘천시 효자2동 310-13,1,교통과,2026-06-01
37.89177,127.75317,정류장,강동농협장학지점,강원특별자치도 춘천시 후평1동 181-5,1,교통과,2026-06-01
37.89509,127.75584,정류장,강원중학교,강원특별자치도 춘천시 장학리 산 36-4,1,교통과,2026-06-01
37.90538,127.70055,정류장,애니고등학교,강원특별자치도 춘천시 금산리 589-4,1,교통과,2026-06-01
37.90526,127.70064,정류장,애니고등학교,강원특별자치도 춘천시 금산리 589-5,1,교통과,2026-06-01
37.86586,127.72006,정류장,춘천우체국,강원특별자치도 춘천시 온의동 152-5,2,교통과,2026-06-01
37.90167,127.80645,정류장,감정2리3반,강원특별자치도 춘천시 감정리 120,1,교통과,2026-06-01
37.90242,127.79254,정류장,감정2리,강원특별자치도 춘천시 감정리 256-7,1,교통과,2026-06-01
37.89637,127.78992,정류장,감정1리마을회관,강원특별자치도 춘천시 감정리 540-1,1,교통과,2026-06-01
37.73722,127.57466,정류장,가정진료소,강원특별자치도 춘천시 가정리 1224-1,1,교통과,2026-06-01
37.76075,127.56749,정류장,가정3리,강원특별자치도 춘천시 가정리 261-4,1,교통과,2026-06-01
37.74812,127.57312,정류장,가정2리,강원특별자치도 춘천시 가정리 998-10,1,교통과,2026-06-01
37.748,127.5732,정류장,가정2리,강원특별자치도 춘천시 가정리 1057-1,1,교통과,2026-06-01
37.73177,127.57901,정류장,가정1리,강원특별자치도 춘천시 가정리 873-5,1,교통과,2026-06-01
37.7368,127.61976,정류장,가재골,강원특별자치도 춘천시 발산리 233-5,1,교통과,2026-06-01
37.73675,127.61987,정류장,가재골,강원특별자치도 춘천시 발산리 229-4,1,교통과,2026-06-01
37.87525,127.73498,정류장,팔호광장,강원특별자치도 춘천시 효자2동 715,1,교통과,2026-06-01
37.94078,127.7124,정류장,(구)102보충대,강원특별자치도 춘천시 용산리 244,1,교통과,2026-06-01
