위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.88365,127.72328,정류장,춘천농협,강원특별자치도 춘천시 소양로3가 110-4,1,교통과,2026-06-01
37.88446,127.72337,정류장,춘천농협,강원특별자치도 춘천시 소양로2가  156-23,1,교통과,2026-06-01
37.90775,127.72374,정류장,소양고등학교,강원특별자치도 춘천시 사농동 112-5,3,교통과,2026-06-01
37.90781,127.72351,정류장,소양고등학교,강원특별자치도 춘천시 사농동 122,3,교통과,2026-06-01
37.89111,127.749,정류장,춘천기계공고,강원특별자치도 춘천시 후평1동 257-4,1,교통과,2026-06-01
37.85823,127.7464,정류장,교육대학교,강원특별자치도 춘천시 석사동 339,1,교통과,2026-06-01
38.02428,127.88333,정류장,추곡초교,강원특별자치도 춘천시 추곡리 560-3,1,교통과,2026-06-01
38.03586,127.88815,정류장,추곡약수터,강원특별자치도 춘천시 추곡리 138-5,1,교통과,2026-06-01
37.74752,127.6535,정류장,추곡리2반,강원특별자치도 춘천시 추곡리 269-7,1,교통과,2026-06-01
38.0274,127.88297,정류장,북산치안센터,강원특별자치도 춘천시 추곡리 577-10,1,교통과,2026-06-01
38.02754,127.88309,정류장,북산치안센터,강원특별자치도 춘천시 추곡리 산 206-1,1,교통과,2026-06-01
37.74964,127.65319,정류장,추곡1리,강원특별자치도 춘천시 추곡리 74-3,1,교통과,2026-06-01
37.74478,127.6504,정류장,추곡리,강원특별자치도 춘천시 추곡리 361-2,1,교통과,2026-06-01
37.74494,127.65077,정류장,추곡3거리,강원특별자치도 춘천시 추곡리 236-4,1,교통과,2026-06-01
38.0135,127.88095,정류장,추곡1리1반,강원특별자치도 춘천시 추곡리 358-1,1,교통과,2026-06-01
38.03353,127.87726,정류장,추곡2리,강원특별자치도 춘천시 추곡리 654-8,1,교통과,2026-06-01
37.98155,127.694,정류장,고탄낚시터,강원특별자치도 춘천시 고탄리 산50-25,1,교통과,2026-06-01
37.88122,127.71365,정류장,청와A,강원특별자치도 춘천시 근화동 741-9,1,교통과,2026-06-01
37.87338,127.75833,정류장,청실A,강원특별자치도 춘천시 후평3동 887,1,교통과,2026-06-01
37.87322,127.75856,정류장,청실A,강원특별자치도 춘천시 후평3동 884,1,교통과,2026-06-01
37.99337,127.88144,정류장,오항2리,강원특별자치도 춘천시 오항리 527-10,1,교통과,2026-06-01
