boarding_stop_id,boarding_stop_names,legal_district_codes,legal_district_names,stop_no,management_id,current_stop_name,longitude,latitude,midday_boardings,match_status,match_method,confidence,source_record_count,boarding_sample_period,mapping_source_dates
4240417,여우고개삼거리,5111011800,우두동,,,,,,66,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240418,여우고개삼거리,5111011800,우두동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240419,삼천동사거리,5111012500,삼천동,,,,,,16,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240423,상걸1리,5111031030,동면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240425,상걸리보건진료소,5111031030,동면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240426,상걸리종점,5111031030,동면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240429,상천초등학교,5111025022,신북읍,,,,,,188,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240430,증4리,5111033024,신동면,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240431,새마을고개,5111011200,효자동,,,,,,34,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240432,새마을고개,5111011200,효자동,,,,,,124,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240434,새술막,5111032023,동산면,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240436,서면행정복지센터,5111035022,서면,,,,,,18,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240437,서면행정복지센터,5111035022,서면,2145,250002168,서면행정복지센터,127.69411,37.89836,8,inferred,tago_route_number_and_adjacent_stop_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240439,서면치안센터,5111035023,서면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240440,서부시장,5111011400,소양로2가,,,,,,64,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240441,서상1리종점,5111035024,서면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240443,서상초교,5111035023,서면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240445,서천1리,5111040028,남산면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240448,서천리,5111040028,남산면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240449,서춘천농협,5111035023,서면,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240450,석갓,5111035024,서면,,,,,,6,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240452,석사2지구A,5111012400,석사동,,,,,,540,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240453,석사4거리,5111012400,석사동,,,,,,52,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240454,석사교회,5111012400,석사동,2124,250002147,석사교회,127.7446,37.85989,118,inferred,unique_stop_name_candidate,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240455,석사극동A,5111039021,동내면,,,,,,418,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240456,석사극동A,5111012400,석사동,,,,,,30,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240457,석사대우A,5111012400,석사동,,,,,,444,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240458,석사동행복센터,5111012400,석사동,,,,,,84,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240459,석사동행복센터,5111012400,석사동,,,,,,92,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240460,석사부영A,5111012400,석사동,,,,,,434,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240461,석사사거리,5111012400,석사동,,,,,,168,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240465,강원도농업기술원,5111025024,신북읍,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240466,충렬탑입구,5111011800,우두동,,,,,,16,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240467,충렬탑입구,5111011800,우두동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
