정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1102,250001293,포스코후문,POSCO Rear Entrance,127.74675,37.88169,2026-03-26
1103,250001294,포스코후문,POSCO Rear Entrance,127.74694,37.88154,2026-03-26
1104,250001295,포스코더샵A,POSCO The # Apartment,127.7486,37.8815,2026-03-26
1105,250001298,팔미쉼터,Palmi Rest Area,127.7039,37.82165,2026-03-26
1106,250001299,팔미3리,Palmi 3(sam)-ri,127.69839,37.81379,2026-03-26
1107,250001300,팔미3리,Palmi 3(sam)-ri,127.69644,37.80969,2026-03-26
1108,250001301,팔미리,Palmi-ri,127.6983,37.81393,2026-03-26
1109,250001302,팔미1리,Palmi 1(il)-ri,127.70438,37.82154,2026-03-26
1110,265000679,너부래길입구,Neoburae-gil Entrance,127.77713,37.8432,2026-03-26
1111,250001304,투탑시티,Two Top City,127.74418,37.85051,2026-03-26
1112,250001305,퇴계현대1차,Toegye Hyundai 1(il)-cha Apartment,127.72499,37.8586,2026-03-26
1113,250001306,퇴계현대1차,Toegye Hyundai 1(il)-cha Apartment,127.72646,37.85789,2026-03-26
1114,250001307,한진한성,Hanjin Hanseong Apartment,127.72324,37.85942,2026-03-26
1115,265000680,고은길,Goeun-gil,127.77381,37.84436,2026-03-26
1116,250001309,남부새마을금고,Nambu MG Community Credit Cooperatives,127.73566,37.85083,2026-03-26
1117,250001310,퇴계한주A,Toegye Hanju Apartment,127.73902,37.84926,2026-03-26
1118,265000681,강원도립극단,Gangwon Provincial Drama Theater,127.7253,37.85555,2026-03-26
1119,250001312,퇴계주공9차,Toegye Jugong 9(gu)-cha Apartment,127.74082,37.8477,2026-03-26
1120,250001313,퇴계주공7단지,Toegye Jugong 7(chil)-danji,127.74095,37.84786,2026-03-26
1121,250001314,퇴계주공6차A,Toegye Jugong 6(yuk)-cha Apartment,127.74085,37.85115,2026-03-26
1122,250001315,퇴계주공6차,Toegye Jugong 6(yuk)-cha Apartment,127.74154,37.85135,2026-03-26
1123,250001316,퇴계주공6차,Toegye Jugong 6(yuk)-cha Apartment,127.74085,37.85034,2026-03-26
1124,250001317,휴먼타운A,Humantown Apt,127.74069,37.85433,2026-03-26
1125,250001318,퇴계주공4차,Toegye Jugong 4(sa)-cha Apartment,127.74553,37.85363,2026-03-26
1126,250001319,퇴계주공4차,Toegye Jugong 4(sa)-cha Apartment,127.74608,37.85469,2026-03-26
1127,250001320,퇴계주공3.4차,"Toegye Jugong 3, 4(sam sa)-cha Apartment",127.74487,37.85577,2026-03-26
1128,250001321,퇴계주공3.4차,"Toegye Jugong 3, 4(sam sa)-cha Apartment",127.74439,37.85568,2026-03-26
1129,250001322,퇴계주공2차,Toegye Jugong 2(i)-cha Apartment,127.73708,37.85843,2026-03-26
1130,250001323,퇴계주공1차,Toegye Jugong 1(il)-cha Apartment,127.73702,37.85871,2026-03-26
1131,250001324,퇴계우체국,Toegye Post Office,127.72329,37.8596,2026-03-26
1132,250001325,퇴계우성A,Toegye Woosung Apartment,127.7301,37.86001,2026-03-26
1133,250001326,퇴계동입구,Toegye-dong Entrance,127.72772,37.85927,2026-03-26
1134,250001327,남부초교,Nambu Elementary School,127.72749,37.85927,2026-03-26
